"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's extremely cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's extremely hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)"
Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive
Height,Height,Height,Height,Height,Height,Height,Height,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height
Extremely,None,Extremely,None,Extremely,None,Extremely,None,Extremely,None,Extremely,None,Extremely,None,Extremely,None,Very,None,Very,None,Very,None,Very,None
64,65,84,83,58,60,72,70,5,18,70,62,40,45,120,118,58,60,70,69,63,65,77,61
65,68,80,79,59,61,74,73,13,25,50,40,55,63,98,89,59,61,70,68,64,66,77,64
66,66,84,80,59,62,73,70,4,10,62,49,49,58,91,86,54,56,69,68,64,68,78,63
64,66,85,84,59,62,75,71,6,18,50,44,60,68,90,80,59,60,75,73,63,65,83,62
68,71,81,80,56,59,71,70,15,24,45,31,72,79,98,91,56,58,65,64,66,69,74,65
70,72,84,82,61,61,75,74,20,32,40,28,65,72,95,94,53,54,64,62,66,69,78,66
66,70,76,72,59,64,72,70,10,24,36,27,72,76,87,80,56,56,64,63,66,69,74,66
69,72,79,77,58,59,71,68,10,24,60,54,53,62,100,98,57,60,65,62,62,65,72,59
70,76,85,82,54,55,76,74,-10,3,70,59,60,62,100,90,54,55,70,67,62,65,78,59
68,71,77,76,57,60,71,71,-22,-8,68,60,50,51,113,111,68,68,72,69,65,66,75,63
72,73,96,92,58,60,72,69,-10,4,60,46,40,49,110,103,58,59,70,68,63,66,78,63
69,70,83,79,57,58,76,71,15,23,55,40,60,64,95,87,55,57,66,65,65,66,78,64
63,67,75,71,56,60,70,66,-15,-8,68,62,60,61,110,104,56,59,69,67,63,64,74,63
67,72,89,84,56,58,77,76,-20,-7,60,52,50,50,100,99,56,59,70,67,65,66,77,64
60,61,84,81,48,50,72,70,10,14,50,40,50,58,110,102,48,48,72,71,58,60,84,56
68,70,84,81,56,60,72,69,-6,2,65,56,55,64,110,104,56,59,68,66,60,60,79,58
65,71,82,77,56,58,75,73,-5,3,42,32,65,72,100,89,63,65,69,67,63,64,80,61
72,76,89,88,58,61,72,69,0,7,62,53,68,78,95,88,56,57,70,68,66,68,78,66
70,75,78,78,60,63,72,68,15,21,60,54,65,66,100,92,48,51,68,67,58,60,78,57
72,77,98,96,42,43,75,70,5,11,70,56,30,35,100,96,56,58,56,54,65,67,78,64
69,70,90,87,57,62,72,69,5,12,60,51,55,57,100,94,57,60,70,70,65,68,76,65
69,71,85,81,59,61,71,70,26,38,64,50,58,62,102,96,58,62,70,67,60,64,75,60
64,65,76,72,58,62,74,70,-10,-4,70,58,45,55,100,91,59,61,70,68,64,67,78,62
70,71,84,81,58,60,75,74,15,25,50,40,65,66,103,95,55,56,68,65,65,65,78,64
69,73,79,75,58,61,74,71,-10,3,60,51,50,53,100,99,55,58,72,70,62,63,84,60
64,66,86,82,56,60,71,68,-10,-5,70,57,40,43,109,104,50,52,67,64,62,65,78,59
66,66,84,81,58,62,74,70,-10,4,45,38,45,48,100,92,49,53,69,67,63,65,79,61
