,"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's very cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's very hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)",diff_height_extremely,diff_height_extremely_2,diff_height_extremely_3,diff_height_extremely_4,diff_height_very,diff_height_very_2,diff_height_very_3,diff_height_very_4,diff_temp_extremely,diff_temp_extremely_2,diff_temp_very,diff_temp_very_2
0,2.330827068,1.203007519,19.09774436,4.060150376,6.317829457,1.666666667,2.984496124,2.984496124,2.562459962,2.049967969,0.448430493,0.64061499,0.960922486,0.896860987,2.370275464,2.562459962,12.85714286,4.962406015,1.804511278,0.07518797,4.379844961,0.271317829,6.085271318,2.984496124,93.74999999,370.3703703,279.0697673,0,159.0909092,2299.999997,1514.285717,103.8961039,25.00000004,-30,7.142857135,-7.500000033
1,10.60150376,3.458646617,4.060150376,3.308270677,6.317829457,1.666666667,282.0542636,2.984496124,2.049967969,1.089045484,0.64061499,0.64061499,0.64061499,0.64061499,2.178090967,1.921844971,7.218045113,3.834586466,4.060150376,1.578947368,1.666666667,0.271317829,6.085271318,6.085271318,206.5217391,22.72727272,279.0697673,9350.649352,88.23529413,157.1428572,514.2857154,0,88.23529404,0,0,13.33333333
2,4.962406015,1.578947368,4.060150376,4.060150376,6.317829457,1.666666667,2.209302326,2.984496124,2.562459962,0.512491992,1.217168482,0.320307495,0.64061499,0.64061499,2.434336963,2.882767457,12.48120301,3.834586466,4.060150376,0.827067669,1.666666667,1.666666667,6.085271318,6.085271318,214.2857144,0,279.0697673,-25.97402596,225.4901962,390.909091,0,0,400.0000004,280.0000003,0,-15.55555558
3,5.714285714,0.827067669,4.060150376,4.060150376,10.96899225,2.054263566,5.310077519,2.984496124,1.281229981,1.281229981,0.832799488,0.64061499,0.64061499,0.896860987,2.69058296,2.434336963,5.714285714,4.962406015,0.30075188,0.45112782,3.992248062,1.666666667,12.28682171,6.085271318,590.909091,0,433.9622642,77.92207791,15.15151515,-33.33333333,139.5348837,101.9108281,0,30.00000016,-28.57142865,10.52631583
4,1.578947368,0.45112782,5.563909774,5.187969925,8.643410853,1.666666667,4.147286822,2.984496124,1.793721973,1.281229981,0.192184497,0.64061499,0.64061499,0.768737988,1.921844971,2.242152466,10.22556391,4.210526316,1.052631579,1.203007519,2.441860465,0.271317829,5.310077519,3.759689922,249.9999996,7.246376799,418.6046511,38.96103897,142.8571429,-12.50000001,800.0000015,41.23711341,39.99999997,-70,-16.66666667,-14.28571428
5,2.706766917,1.954887218,4.060150376,4.060150376,8.643410853,1.666666667,6.085271318,2.984496124,2.754644459,2.242152466,0.64061499,1.281229981,0.320307495,1.281229981,2.946828956,2.306213965,12.48120301,9.097744361,4.060150376,0.07518797,1.666666667,1.666666667,4.92248062,2.984496124,38.46153845,0,418.6046511,103.8961039,37.19008267,5299.999995,0,64.93506493,22.85714289,-50.00000004,-75.00000002,27.77777781
6,0.30075188,1.578947368,5.563909774,2.556390977,5.15503876,4.379844961,5.310077519,2.984496124,2.562459962,1.793721973,0.64061499,0.512491992,0.768737988,0.896860987,2.562459962,2.242152466,5.714285714,4.962406015,0.30075188,235.2631579,3.992248062,1.666666667,5.310077519,2.984496124,-80.95238093,117.6470588,17.69911506,77.92207791,15.15151515,-99.87216363,139.5348837,77.92207791,42.85714289,25,-14.28571438,14.28571432
7,3.834586466,1.203007519,5.563909774,4.060150376,8.643410853,1.666666667,2.984496124,2.209302326,1.153106983,2.562459962,0.128122998,1.281229981,0.768737988,0.896860987,2.882767457,1.921844971,10.22556391,12.48120301,1.052631579,0.45112782,0.891472868,0.271317829,4.92248062,2.984496124,218.7499999,37.03703702,418.6046511,35.08771927,-18.07228917,133.3333331,228.571429,64.93506493,-55,-90.00000001,-14.28571438,50.00000003
8,3.458646617,3.458646617,5.563909774,4.060150376,6.317829457,0.891472868,6.085271318,2.984496124,2.114029468,1.089045484,0.128122998,0.64061499,0.512491992,0.320307495,2.69058296,2.242152466,10.22556391,8.721804511,4.060150376,1.203007519,1.666666667,0.271317829,6.085271318,5.310077519,0,37.03703702,608.6956523,103.8961039,17.24137932,237.4999999,514.2857154,14.59854016,94.11764697,-80,60,20.00000004
9,4.962406015,0.827067669,5.563909774,4.060150376,6.317829457,1.666666667,6.860465116,2.984496124,2.562459962,2.049967969,0.320307495,0.128122998,0.64061499,0.512491992,2.562459962,2.434336963,7.969924812,4.210526316,1.052631579,1.804511278,1.666666667,1.666666667,5.310077519,6.085271318,500.0000001,37.03703702,279.0697673,129.8701299,89.28571428,-41.66666666,0,-12.73885351,25.00000004,150,25,5.263157934
